id,messier_id,image,image_desc
0,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-1.jpg,"Messier 1 – The Crab Nebula. This is a mosaic image, one of the largest ever taken by NASA’s Hubble Space Telescope of the Crab Nebula, a six-light-year-wide expanding remnant of a star’s supernova explosion. Japanese and Chinese astronomers recorded this violent event nearly 1,000 years ago in 1054, as did, almost certainly, Native Americans. The orange filaments are the tattered remains of the star and consist mostly of hydrogen. The rapidly spinning neutron star embedded in the center of the nebula is the dynamo powering the nebula’s eerie interior bluish glow. The blue light comes from electrons whirling at nearly the speed of light around magnetic field lines from the neutron star. The neutron star, like a lighthouse, ejects twin beams of radiation that appear to pulse 30 times a second due to the neutron star’s rotation. A neutron star is the crushed ultra-dense core of the exploded star. Image: NASA, ESA, J. Hester and A. Loll (Arizona State University)"
1,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Crab-Nebula-Hubble.jpg,"Hubble Space Telescope image of filaments in the Crab Nebula (M1, NGC 1952). Credit: NASA and The Hubble Heritage Team (STScI/AURA)"
2,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Crab-Nebula-Lord-Rosse.jpg,"Drawing of the Crab Nebula. Originally published in Observations on Some of the Nebulae, Philosophical Transactions of the Royal Society of London vol. 134 (1844). Image: William Parsons, 3rd Earl of Rosse"
3,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-1-location.png,Location of the Crab Nebula (Messier 1) in Taurus constellation. Image: IAU and Sky & Telescope magazine (Roger Sinnott & Rick Fienberg)
4,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Crab-Pulsar.gif,"What if you could “see” in gamma-rays? If you could, these two spinning neutron stars or pulsars would be among the brightest objects in the sky. This computer processed image shows the Crab Nebula pulsar (below and right of center) and the Geminga pulsar (above and left of center) in the “light” of gamma-rays. Gamma-ray photons are more than 10,000 times more energetic than visible light photons and are blocked from the Earths’s surface by the atmosphere. This image was produced by the high energy gamma-ray telescope “EGRET” on board NASA’s orbiting Compton Observatory satellite. Image: NASA, Compton Gamma Ray Observatory."
5,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-1-Hubble.jpg,"This image shows a composite view of the Crab Nebula as viewed by the Herschel Space Observatory and the Hubble Space Telescope. The image combines Hubble’s view of the nebula at visible wavelengths, obtained using three different filters sensitive to the emission from oxygen and sulphur ions and is shown here in blue. Herschel’s far-infrared image reveals the emission from dust in the nebula and is shown here in red. While studying the dust content of the Crab Nebula with Herschel, a team of astronomers have detected emission lines from argon hydride, a molecular ion containing the noble gas argon. This is the first detection of a noble-gas based compound in space. Image: ESA/Herschel/PACS/MESS Key Programme Supernova Remnant Team; NASA, ESA and Allison Loll/Jeff Hester (Arizona State University)"
6,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/M1.png,"This is the Crab Nebula in various energy bands, including a hard X-ray image from the HEFT data taken during its 2005 observation run. The angular resolution of HEFT is about 1.5′. Each image is 6′ wide. Image: NASA, CM Hubert Chen, Fiona A. Harrison, Principal Investigator, Caltech Charles J. Hailey, Columbia Principal, Columbia, Finn E. Christensen, DSRI Principal, DSRI, William W. Craig, Optics Scientist, LLNL, Stephen M. Schindler, Project Manager, Caltech"
7,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-1-NASA.jpg,Crab Nebula in visible light taken by the Hale Observatory optical telescope in 1959. Credit: NASA Marshall Space Flight Center (NASA-MSFC)
8,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-1-false-colour.jpg,"The Crab Nebula (Messier 1) is a well-known supernova remnant (the remains from massive star whose life ended in a massive explosion). This false-color image of the Crab Nebula was taken at the Vatican Observatory on Mount Graham using Sloan u’, g’, and r’ filters. The yellow filaments on the outside of the remnant are primarily ionized hydrogen gas and show up in both the u’ and r’ filters. The gas in the interior of the nebula is heated by the neutron star left by the explosion and its glowing light is visible in all the filters. While the neutron star itself is too faint to be see in the visible, the glowing disk of gas and debris that surround it also shows up quite clearly in the g’ filter (blue-white colors). One of the jets thrown off by the accreting neutron star is also partially visible in the g’ filter to the lower-left of the accretion disk. Image: Jjstott at wikipedia.org"
9,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-1-Chandra.jpg,"In the Crab Nebula, a rapidly rotating neutron star, or pulsar (white dot near the center), powers the dramatic activity seen by Chandra. The inner X-ray ring is thought to be a shock wave that marks the boundary between the surrounding nebula and the flow of matter and antimatter particles from the pulsar. Energetic particles move outward to brighten the outer ring and produce an extended X-ray glow. The jets perpendicular to the ring are due to matter and antimatter particles spewing out from the poles of the pulsar. The fingers, loops and bays visible on the outer boundary of the nebula are likely caused by confinement of the high-energy particles by magnetic forces. Image: Chandra X-ray Observatory, Smithsonian Institution, NASA/CXC/SAO/F.Seward et al."
10,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Crab-Nebula-supernova-remnant.jpg,"This view of the supernova remnant obtained by the Spitzer Space Telescope shows the infrared view of this complex object. The blue-white region traces the cloud of energetic electrons trapped within the star’s magnetic field, emitting so-called “synchrotron” radiation. The red features follow the well-known filamentary structures that permeate this nebula. Though they are known to contain hot gasses, their exact nature is still a mystery that astronomers are examining. The energetic cloud of electrons are driven by a rapidly rotating neutron star, or pulsar, at its core. The nebula is about 6,500 light-years away from the Earth, and is 5 light-years across. This false-color image presents images from Spitzer’s Infrared Array Camera (IRAC) at 3.6 (blue), 4.5 (green), and 8.0 (red) microns. Image: NASA/JPL-Caltech/R. Gehrz (University of Minnesota)"
11,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Crab-Pulsar-Hubble.jpg,"Hubble Space Telescope observations of features very close to the Crab Pulsar, changing over time. Image: NASA"
12,M1,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-1-composite.jpg,"A composite image of the Crab Nebula showing the X-ray (blue), and optical (red) images superimposed. The size of the X-ray image is smaller because the higher energy X-ray emitting electrons radiate away their energy more quickly than the lower energy optically emitting electrons as they move. Optical: NASA/HST/ASU/J. Hester et al. X-Ray: NASA/CXC/ASU/J. Hester et al."
13,M2,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-2.jpg,Messier 2. Image: NASA
14,M2,https://www.messier-objects.com/wp-content/uploads/2015/01/M2.jpg,"This image of the Globular cluster Messier 2 (M2) was taken by Galaxy Evolution Explorer on August 20, 2003. This image is a small section of a single All Sky Imaging Survey exposure of only 129 seconds in the constellation Aquarius. This picture is a combination of Galaxy Evolution Explorer images taken with the far ultraviolet (colored blue) and near ultraviolet detectors (colored red). Globular clusters are gravitationally bound systems of hundreds of thousands of stars that orbit in the halos of galaxies. The globular clusters in out Milky Way galaxy contain some of the oldest stars known. M2 lies 33,000 light years from our Sun with stars distributed in a spherical system with a radius of approximately 100 light years. Image: NASA/JPL/California Institute of Technology"
15,M2,https://www.messier-objects.com/wp-content/uploads/2015/01/NGC-7089.jpg,M2 globular cluster (NGC 7089). Image: Ole Nielsen
16,M2,https://www.messier-objects.com/wp-content/uploads/2015/01/Messier-2-globular-cluster.jpg,"Atlas Image mosaic obtained as part of the Two Micron All Sky Survey (2MASS), a joint project of the University of Massachusetts and the Infrared Processing and Analysis Center/California Institute of Technology, funded by the National Aeronautics and Space Administration and the National Science Foundation."
